signal-026,signal-027,signal-028,signal-029,signal-040,signal-041,signal-055,signal-056,signal-068,signal-069,signal-070,signal-075,signal-086,signal-087,signal-092
0.16839691,0.099030138,0.446051603,0.499535904,0.770888815,0.760451115,0.229552468,0.050492611,0.679245283,0.855072464,0.861111111,0.996945366,0.961088471,0.961821527,0.368795248
0.162481893,0.095944213,0.446931196,0.493038562,0.771388149,0.75968795,0.229552468,0.050668543,0.679245283,0.855072464,0.861111111,0.996072613,0.967694229,0.969411224,0.369820035
0.167310478,0.097867906,0.448885848,0.493038562,0.772636485,0.761553464,0.229552468,0.049964814,0.679245283,0.855072464,0.875,0.996159888,0.964769291,0.960868708,0.369051457
0.159101883,0.093579673,0.439405786,0.493882373,0.773219041,0.761044688,0.229552468,0.050140746,0.679245283,0.855072464,0.861111111,0.995810787,0.966215328,0.961591536,0.368282854
0.161395461,0.096304905,0.444096951,0.497932664,0.771721039,0.760027135,0.229420542,0.05031703,0.679245283,0.855072464,0.861111111,0.996247164,0.972098068,0.966717046,0.370076231
0.161395461,0.096304905,0.437451134,0.48814446,0.77213715,0.76163826,0.229288616,0.050492611,0.679245283,0.855072464,0.861111111,0.99668354,0.974530038,0.973091076,0.369563838
0.161395461,0.100593139,0.441262705,0.500379715,0.773219041,0.762316629,0.22915669,0.050668543,0.679245283,0.855072464,0.861111111,0.996508989,0.976008939,0.966717046,0.368026657
0.16839691,0.093178903,0.446051603,0.48814446,0.772553262,0.761723056,0.229023445,0.050668543,0.679245283,0.855072464,0.861111111,0.995636237,0.968910214,0.966224208,0.368539064
0.166103332,0.100192369,0.446931196,0.486456839,0.773219041,0.762147036,0.228891519,0.050668543,0.679245283,0.855072464,0.861111111,0.996334439,0.957900618,0.957188855,0.369051457
0.171897634,0.097467137,0.443119625,0.489832082,0.772303595,0.761892648,0.228760912,0.050668543,0.679245283,0.855072464,0.861111111,0.995287136,0.963060339,0.96770272,0.363287017
0.166042974,0.100593139,0.454554339,0.502067336,0.773135819,0.762571017,0.228628986,0.050668543,0.679245283,0.855072464,0.861111111,0.996159888,0.958163534,0.960113024,0.368026657
0.160188315,0.096705675,0.449765442,0.483250359,0.773718375,0.761383872,0.22849706,0.050668543,0.679245283,0.855072464,0.861111111,0.996421714,0.950801893,0.949369168,0.366041132
0.164896185,0.103679064,0.444096951,0.491350941,0.772719707,0.761892648,0.228365134,0.050668543,0.679245283,0.855072464,0.861111111,0.996334439,0.949848823,0.954494677,0.368282854
0.163689039,0.100192369,0.43842846,0.492194751,0.773801598,0.762231832,0.228233208,0.050668543,0.679245283,0.855072464,0.861111111,0.995723512,0.96792428,0.963792877,0.367322116
0.170690488,0.10215614,0.441262705,0.48814446,0.773801598,0.762571017,0.228891519,0.050668543,0.679245283,0.855072464,0.861111111,0.996072613,0.964276324,0.959883033,0.369051457
0.166103332,0.09939083,0.434616888,0.482406548,0.773468708,0.763418977,0.229552468,0.050668543,0.679245283,0.855072464,0.861111111,0.99668354,0.962567372,0.964022868,0.367065932
0.163689039,0.1005731,0.444096951,0.482406548,0.773635153,0.763418977,0.228233208,0.050668543,0.679245283,0.855072464,0.861111111,0.996945366,0.957407651,0.957681693,0.371293166
0.162481893,0.10175537,0.435594214,0.496329424,0.774633822,0.761723056,0.228891519,0.050668543,0.679245283,0.855072464,0.861111111,0.996247164,0.962074405,0.960113024,0.367065932
0.169483341,0.097867906,0.440383112,0.486456839,0.774051265,0.762571017,0.229552468,0.050668543,0.679245283,0.855072464,0.861111111,0.996247164,0.955961614,0.955480352,0.369307641
